player_id,player_name,team_2526,mp_2526,mpg_2526
gueyemo01,Mouhamadou Gueye,CHI,45.0,22.5
steveis01,Isaiah Stevens,SAC,43.0,14.33
dickihu01,Hunter Dickinson,NOP,42.0,8.4
saricda01,Dario Šarić,SAC,41.0,8.2
sarrol01,Olivier Sarr,CLE,39.0,9.75
jonesdi01,Dillon Jones,NYK,39.0,5.57
labissk01,Skal Labissière,WAS,38.0,12.67
jonesis01,Isaac Jones,2TM,36.0,5.14
fultzma01,Markelle Fultz,TOR,36.0,7.2
shulgma01,Max Shulga,BOS,36.0,3.27
milleem01,Emanuel Miller,CHI,33.0,6.6
telfoja01,Jahmyl Telfort,LAC,32.0,4.0
searsma01,Mark Sears,MIL,26.0,3.71
sallihu01,Hunter Sallis,PHI,26.0,3.71
robinor01,Orlando Robinson,ORL,25.0,6.25
grayha01,Hayden Gray,UTA,25.0,25.0
omierno01,Norchad Omier,LAC,24.0,4.0
antetal01,Alex Antetokounmpo,MIL,21.0,3.5
clarkbr01,Brandon Clarke,MEM,20.0,10.0
toppija01,Jacob Toppin,ATL,17.0,3.4
livinch01,Chris Livingston,CLE,17.0,5.67
keelstr01,Trevor Keels,MIA,15.0,1.88
nfalyda01,N'Faly Dante,ATL,15.0,3.75
boehebu01,Buddy Boeheim,OKC,15.0,3.75
newtotr01,Tristen Newton,HOU,12.0,12.0
evbuoto01,Tosan Evbuomwan,NYK,8.0,1.6
umudest01,Stanley Umude,SAS,7.0,3.5
jonesco02,Colby Jones,DET,7.0,7.0
flowetr01,Trentyn Flowers,CHI,6.0,3.0
brownda04,Darius Brown II,CLE,3.0,3.0
