player_id,team,pos,mpg,gp,minutes_estimated,gp_estimated,PTS,PTS_season,REB,REB_season,AST,AST_season,STL,STL_season,BLK,BLK_season,3PM,3PM_season,TOV,TOV_season,FG_PCT,FT_PCT,FGA,FGA_season,FTA,FTA_season
achiupr01,SAC,C,23.9,82,True,True,9.358134738221,767.3670485341221,6.854989825615273,562.1091657004524,1.3733652605577893,112.61595136573872,0.8536863146524555,70.00227780150135,0.8179387143444866,67.0709745762479,0.3324161025977941,27.258120413019114,1.0334288803719764,84.74116819050207,0.5202101410968589,0.6086396501930862,7.918055963872222,649.2805890375222,2.0692412093681174,169.67777916818562
adamsst01,HOU,C,22.8,82,True,True,5.9192323072542825,485.37704919485117,7.952442136789157,652.1002552167109,1.6258339883849386,133.31838704756498,0.5193525104691377,42.58690585846929,0.5806765884224475,47.615480250640694,0.040912123719491725,3.3547941449983214,1.2104446656322532,99.25646258184476,0.4879905472656237,0.6021859914629651,5.450984473320035,446.98072681224284,2.657504932310759,217.91540444948225
adebaba01,MIA,C,32.4,82,True,True,19.20129942342821,1574.5065527211132,9.955258562320164,816.3312021102535,3.722668865665054,305.25884698453444,1.1560941535716256,94.7997205928733,0.7545685774235009,61.87462334872708,1.2009310344296829,98.476344823234,1.9291475731125844,158.19010099523192,0.47226490179407693,0.7594937998852165,14.741910089051762,1208.8366273022446,5.12719884646016,420.4303054097331
aldamsa01,DAL,PF,27.9,82,True,True,13.367073541640288,1096.1000304145036,6.630015318724185,543.6612561353832,2.9108609969478376,238.69060174972267,0.8645546618484784,70.89348227157522,0.6870165710008831,56.335358822072415,1.8260833140792627,149.73883175449953,1.294884158662094,106.1805010102917,0.47244470643537406,0.6862123283112482,10.954759656551909,898.2902918372565,2.3874485928884357,195.77078461685173
alexani01,ATL,SG,33.4,82,True,True,17.27936225633752,1416.9077050196768,3.6831329455798514,302.0169015375478,3.698796392275349,303.30130416657863,1.1741477885217677,96.28011865878496,0.589164947085887,48.31152566104273,2.8788428992564667,236.06511773903028,1.8463555613653662,151.40115603196003,0.4508078847241557,0.8480613978989597,13.135698008163002,1077.127236669366,3.0319983884426023,248.6238678522934
alexatr01,UTA,SG,12.3,82,True,True,5.096564742597146,417.918308892966,1.3892542412331523,113.91884778111849,1.1340796220509106,92.99452900817467,0.43831381281040377,35.94173265045311,0.1544098187009949,12.661605133481583,0.6435027101328156,52.76722223089088,0.5761102076579404,47.241037027951116,0.4439520598770082,0.772267928207512,4.750047837542177,389.50392267845854,1.0966457778827492,89.92495378638543
allengr01,CHO,SG,28.8,82,True,True,13.416840749402,1100.1809414509642,3.151396622140107,258.4145230154888,3.04981039738002,250.08445258516164,0.953023912574682,78.14796083112392,0.31290141127621884,25.657915724649946,2.68258669259031,219.97210879240544,1.3450520700630977,110.294269745174,0.42869359214946723,0.8320740102769438,10.10307590113136,828.4522238927715,2.5129274018196917,206.06004694921472
allenja01,CLE,C,27.1,82,True,True,14.30945789066355,1173.375547034411,9.000411364061165,738.0337318530155,1.9806256842225427,162.4113061062485,0.8493180575476869,69.64408071891032,0.8712176978076221,71.43985122022502,0.013948285295141123,1.143759394201572,1.3122067650360054,107.60095473295245,0.647619448056794,0.7223405661918457,8.954037440390138,734.2310701119914,3.871769768606213,317.4851210257095
alvarjo01,NYK,PG,19.9,82,True,True,7.706906054563494,631.9662964742065,2.2856051899707683,187.419625577603,3.2919038719412432,269.93611749918193,0.9670595169407605,79.29888038914237,0.17563666155975607,14.402206247899999,1.4865890998295008,121.90030618601907,1.130471915645721,92.69869708294912,0.4177168079959843,0.7781655215074859,7.124063505007853,584.173207410644,1.2270781781085616,100.62041060490205
anderky01,TOR,SF,19.8,82,True,True,5.859910769110607,480.5126830670698,3.213174316479888,263.4802939513508,3.0280208694865323,248.29771129789566,0.6913274901458794,56.68885419196211,0.44204771126657105,36.24791232385883,0.21714301787210388,17.80572746551252,0.8553490519914518,70.13862226329906,0.44980661748853873,0.7157154908284176,5.2422243895338845,429.8623999417785,1.6326570257714734,133.8778761132608
antetgi01,MIA,PF,28.9,82,True,True,26.081416769092414,2138.676175065578,9.760358666374852,800.3494106427379,5.5226237062552235,452.8551439129283,0.8111788244305975,66.516663603309,0.7905568503286087,64.82566172694591,0.3257838702504969,26.714277360540745,2.784835212124195,228.35648739418397,0.5734251398816674,0.6484490304093494,15.887525647713066,1302.7771031124714,8.495263705788469,696.6116238746545
anunoog01,NYK,PF,33.2,82,True,True,16.016493259833705,1313.3524473063637,4.76187662156697,390.4738829684916,2.0910346496781655,171.46484127360958,1.3626577116471204,111.73793235506386,0.7318955388825217,60.015434188366775,2.163181825432235,177.38090968544324,1.5835019310781724,129.84715834841015,0.4760848481545816,0.7986023956660707,12.104749700454924,992.5894754373038,3.0605478148331473,250.96492081631808
avdijde01,POR,SF,33.3,82,True,True,20.969561864705298,1719.5040729058344,7.413234932402639,607.8852644570164,5.462610889972822,447.93409297777146,0.9022168111737162,73.98177851624473,0.577437777566433,47.349897760447504,1.780328667131876,145.98695070481384,3.2075051862662116,263.01542527382935,0.47450716479773863,0.786272856564438,14.345723111938879,1176.349295178988,6.659884708393756,546.110546088288
